Belarus,1012356,05.06.2019,Teleman
Bulgaria,74612,14.04.2019,Teleman
Cyprus,80599,05.06.2019,OM BVI
Greece,220763,12.04.2023,OM UK 
Iraq,Pending,,Hristo
United Arab Emirates,Prov.refusal,,OM BVI
