Bulgaria,71749,20.06.2018,Teleman
Cyprus,80600,05.06.2019,OM BVI
Greece,2026/2012,02.04.2022,OM UK
Iraq,Pending,,Hristo
United Arab Emirates,181447/4.11.2012,,OM BVI
